8573.4 -0.143115
8573.44 -0.143268
8573.48 -0.143422
8573.51 -0.143536
8573.55 -0.14369
8573.59 -0.143843
8573.63 -0.143996
8573.67 -0.14415
8573.7 -0.144265
8573.74 -0.144418
8573.78 -0.144571
8573.82 -0.144725
8573.86 -0.144878
8573.89 -0.144993
8573.93 -0.145146
8573.97 -0.1453
8574.01 -0.145453
8574.05 -0.145607
8574.08 -0.145723
8574.12 -0.14588
8574.16 -0.14604
8574.2 -0.146204
8574.24 -0.146372
8574.27 -0.146501
8574.31 -0.146679
8574.35 -0.146863
8574.39 -0.147055
8574.42 -0.147205
8574.46 -0.147412
8574.5 -0.147628
8574.54 -0.147856
8574.58 -0.148095
8574.61 -0.148282
8574.65 -0.148542
8574.69 -0.148816
8574.73 -0.149105
8574.77 -0.149409
8574.8 -0.149647
8574.84 -0.149979
8574.88 -0.150329
8574.92 -0.150697
8574.96 -0.151085
8574.99 -0.151388
8575.03 -0.15181
8575.07 -0.152254
8575.11 -0.15272
8575.15 -0.153209
8575.18 -0.153591
8575.22 -0.154123
8575.26 -0.154679
8575.3 -0.155261
8575.34 -0.15587
8575.37 -0.156345
8575.41 -0.157002
8575.45 -0.157688
8575.49 -0.1584
8575.53 -0.159138
8575.56 -0.159706
8575.6 -0.160484
8575.64 -0.161283
8575.68 -0.162103
8575.72 -0.16294
8575.75 -0.16358
8575.79 -0.164447
8575.83 -0.165328
8575.87 -0.166223
8575.91 -0.167129
8575.94 -0.167816
8575.98 -0.168741
8576.02 -0.169673
8576.06 -0.170611
8576.1 -0.171556
8576.13 -0.172266
8576.17 -0.173216
8576.21 -0.174168
8576.25 -0.175119
8576.29 -0.176069
8576.32 -0.17678
8576.36 -0.177725
8576.4 -0.178664
8576.44 -0.179597
8576.48 -0.180521
8576.51 -0.181209
8576.55 -0.182116
8576.59 -0.183012
8576.63 -0.183894
8576.67 -0.184762
8576.7 -0.185403
8576.74 -0.186242
8576.78 -0.187062
8576.82 -0.187863
8576.86 -0.188643
8576.89 -0.189213
8576.93 -0.189952
8576.97 -0.190666
8577.01 -0.191354
8577.05 -0.192016
8577.08 -0.192496
8577.12 -0.193114
8577.16 -0.193708
8577.2 -0.194278
8577.23 -0.194691
8577.27 -0.195221
8577.31 -0.195728
8577.35 -0.196215
